Index;"LTL formula";Result;Confidence
84;"globally(or(not(and(input(D), neg_output(V))), or(globally(neg_output(X)), until(neg_output(X), output(V)))))";UNKNOWN;0
85;"eventually(output(V))";UNKNOWN;0
86;"globally(or(neg_input(E), eventually(output(U))))";UNKNOWN;0
87;"globally(neg_output(X))";UNKNOWN;0
88;"or(globally(neg_output(U)), until(neg_output(U), and(output(Z), neg_output(U))))";UNKNOWN;0
89;"globally(or(not(and(output(W), neg_output(V))), or(globally(neg_output(V)), until(neg_output(V), and(output(U), neg_output(V))))))";YES;9
90;"or(globally(neg_output(Z)), until(neg_output(Z), input(E)))";YES;9
91;"or(globally(neg_output(X)), until(neg_output(X), output(W)))";UNKNOWN;0
92;"globally(or(not(and(and(output(Y), neg_input(C)), eventually(input(C)))), until(neg_output(W), input(C))))";YES;9
93;"or(globally(neg_output(Z)), eventually(and(output(Z), eventually(output(Y)))))";YES;9
94;"globally(or(neg_input(A), globally(neg_output(U))))";UNKNOWN;0
95;"globally(or(not(and(input(B), neg_output(Y))), or(globally(neg_output(Y)), until(neg_output(Y), and(output(W), neg_output(Y))))))";UNKNOWN;0
96;"globally(or(not(and(and(output(W), neg_input(A)), eventually(input(A)))), until(neg_output(X), input(A))))";YES;9
97;"globally(or(not(and(input(F), neg_input(C))), or(globally(neg_output(Z)), until(neg_output(Z), input(C)))))";YES;9
98;"globally(or(not(and(input(D), neg_input(B))), or(globally(neg_input(B)), until(neg_input(B), and(output(X), neg_input(B))))))";UNKNOWN;0
99;"globally(or(not(and(output(X), neg_output(Z))), or(globally(neg_output(Z)), until(neg_output(Z), and(output(Y), neg_output(Z))))))";YES;9
100;"or(globally(neg_input(A)), until(neg_input(A), and(output(U), neg_input(A))))";UNKNOWN;0
